imu_ax, imu_ay, odom_vx, odom_w, enc_x, enc_y, enc_th, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, kf_th, stamp, 
-0.04414485411080929, 0.024148519523953964, 1.837974489017819e-06, -9.744061925794073e-07, -1.2943416777940568, 4.05370074704517, -1.1943639927621128, -0.04957345450652937, 2.8416046599670014e-08, -0.0029136785080729278, -9.752636236612134e-06, -1.294256594694288, 4.05348553715712, -1.1943624930541734, 77744000000, 
-0.05905876916482024, -0.01909905008130331, 3.926675544246495e-06, -1.090358922468739e-06, -1.2943416638717948, 4.053700710227624, -1.1943640932667325, -0.05293980151053603, -1.2242321371014698e-08, -0.0029154613166597126, 4.199102660377915e-06, -1.2942556433058883, 4.053483130096531, -1.1943625902339812, 77835000000, 
-0.029647628821173506, -0.009399571759446742, 4.213596261478727e-06, -8.529843595117119e-07, -1.2943416724347108, 4.053700730124158, -1.1943641533828697, -0.04354308844568551, -1.4621854974276116e-08, -0.0027531806039989932, 5.310895679360039e-06, -1.294262387581449, 4.05350019197543, -1.194362126920938, 77930000000, 
-0.051822700019340064, -0.002413824698940171, 1.8286003465277821e-06, -9.697499241316667e-07, -1.2943416745268999, 4.053700735679113, -1.1943642457471606, -0.04642966395913918, -6.8462041623845385e-09, -0.0027874764425906886, 2.4560581240362545e-06, -1.2942636201905324, 4.053503310244305, -1.1943617680391667, 78030000000, 
-0.0326219170110018, -0.006830707630714507, 1.0864753896145898e-06, -1.0980289669111044e-06, -1.294341656600087, 4.053700689710958, -1.1943643439194742, -0.040741662972761473, -8.289343807531269e-09, -0.002589272113925424, 3.201418561977383e-06, -1.2942698900233334, 4.053519171682376, -1.1943614877521511, 78126000000, 
-0.06975627173025294, 0.012175494752949089, 2.259471388879412e-06, -8.556548008164253e-07, -1.2943416697798602, 4.0537007179532, -1.1943644373768418, -0.05173788909323734, 1.1276996299697854e-08, -0.0026998044024067387, -4.1769678905794e-06, -1.2942637063735372, 4.053503528170065, -1.194361621165599, 78217000000, 
-0.05269803043127924, -0.011539984690587451, 3.953089164943425e-06, -9.309980189950402e-07, -1.2943416605022764, 4.053700695741648, -1.1943645306839243, -0.05174895409935511, -7.908351024238655e-09, -0.002992221503404096, 2.642969785238737e-06, -1.2942556800034613, 4.053483222682968, -1.1943616284057803, 78317000000, 
-0.06229490921491743, 0.01880252027627976, 3.906786016266484e-06, -1.0952586893944297e-06, -1.2943416524778786, 4.053700675233019, -1.1943645964510063, -0.055515699101676266, 2.5182534831617273e-08, -0.003012185794519625, -8.360219637657946e-06, -1.2942516595114477, 4.05347305183371, -1.194362021741172, 78407000000, 
-0.06563405934919092, 0.0073425116450591054, 2.2495223702284277e-06, -9.516013864893309e-07, -1.294341668248237, 4.053700711031763, -1.1943646875151985, -0.059079676558452775, 2.3410177710283947e-08, -0.0032520024953319486, -7.198696109208966e-06, -1.2942441867161216, 4.053454147052492, -1.1943627483631307, 78502000000, 
-0.06261718214009274, -0.01931379575910669, 3.944773432568684e-06, -9.383753789376759e-07, -1.2943416592987569, 4.053700689631282, -1.1943647802428576, -0.06003032892503534, -2.2370320073097746e-08, -0.003509164568729995, 6.374827864283894e-06, -1.2942374719707566, 4.053437159769554, -1.1943626480351843, 78602000000, 
-0.07849532917226344, 0.01730951550119259, 2.242701230938551e-06, -8.974942885871841e-07, -1.2943416516015969, 4.053700667300604, -1.1943648798525532, -0.06678668056303823, 2.774768916546428e-08, -0.003697302885337591, -7.504846107010438e-06, -1.2942293894365116, 4.053416712878984, -1.1943628664293633, 78697000000, 
-0.06648294807438415, -0.00695849892254052, 1.5188641782780498e-06, -1.0149792361244369e-06, -1.2943416589706689, 4.053700685726372, -1.194364967250854, -0.06622170761954714, -1.8300269733215085e-09, -0.003802601472284674, 4.812565783345143e-07, -1.2942251000067286, 4.053405861177758, -1.1943631085045023, 78792000000, 
